"","subject","item","Rating","Anim","Trans"
"1",1,"1",6,"basic",9
"2",1,"2",7,"basic",9
"3",1,"3",7,"basic",9
"4",1,"4",7,"inverse",9
"5",1,"5",6,"inverse",9
"6",1,"6",6,"inverse",9
"7",1,"7",6,"basic",8
"8",1,"8",7,"basic",8
"9",1,"9",6,"basic",8
"10",1,"10",7,"inverse",8
"11",1,"11",7,"inverse",8
"12",1,"12",5,"inverse",8
"13",1,"13",7,"basic",7
"14",1,"14",6,"basic",7
"15",1,"15",7,"basic",7
"16",1,"16",5,"inverse",7
"17",1,"17",5,"inverse",7
"18",1,"18",7,"inverse",7
"19",1,"19",7,"basic",6
"20",1,"20",7,"basic",6
"21",1,"21",7,"basic",6
"22",1,"22",5,"inverse",6
"23",1,"23",6,"inverse",6
"24",1,"24",7,"inverse",6
"25",1,"25",7,"basic",5
"26",1,"26",7,"basic",5
"27",1,"27",7,"basic",5
"28",1,"28",7,"inverse",5
"29",1,"29",7,"inverse",5
"30",1,"30",7,"inverse",5
"31",1,"31",7,"basic",4
"32",1,"32",7,"basic",4
"33",1,"33",6,"basic",4
"34",1,"34",7,"inverse",4
"35",1,"35",6,"inverse",4
"36",1,"36",7,"inverse",4
"37",1,"37",6,"basic",3
"38",1,"38",6,"basic",3
"39",1,"39",7,"basic",3
"40",1,"40",5,"inverse",3
"41",1,"41",7,"inverse",3
"42",1,"42",7,"inverse",3
"43",1,"43",7,"basic",2
"44",1,"44",7,"basic",2
"45",1,"45",7,"basic",2
"46",1,"46",7,"inverse",2
"47",1,"47",7,"inverse",2
"48",1,"48",7,"inverse",2
"49",2,"1",7,"basic",9
"50",2,"2",7,"basic",9
"51",2,"3",7,"basic",9
"52",2,"4",7,"inverse",9
"53",2,"5",6,"inverse",9
"54",2,"6",6,"inverse",9
"55",2,"7",7,"basic",8
"56",2,"8",6,"basic",8
"57",2,"9",7,"basic",8
"58",2,"10",7,"inverse",8
"59",2,"11",6,"inverse",8
"60",2,"12",7,"inverse",8
"61",2,"13",7,"basic",7
"62",2,"14",7,"basic",7
"63",2,"15",6,"basic",7
"64",2,"16",5,"inverse",7
"65",2,"17",7,"inverse",7
"66",2,"18",6,"inverse",7
"67",2,"19",7,"basic",6
"68",2,"20",7,"basic",6
"69",2,"21",7,"basic",6
"70",2,"22",7,"inverse",6
"71",2,"23",6,"inverse",6
"72",2,"24",7,"inverse",6
"73",2,"25",6,"basic",5
"74",2,"26",7,"basic",5
"75",2,"27",7,"basic",5
"76",2,"28",6,"inverse",5
"77",2,"29",7,"inverse",5
"78",2,"30",7,"inverse",5
"79",2,"31",7,"basic",4
"80",2,"32",7,"basic",4
"81",2,"33",6,"basic",4
"82",2,"34",7,"inverse",4
"83",2,"35",7,"inverse",4
"84",2,"36",7,"inverse",4
"85",2,"37",7,"basic",3
"86",2,"38",7,"basic",3
"87",2,"39",7,"basic",3
"88",2,"40",6,"inverse",3
"89",2,"41",7,"inverse",3
"90",2,"42",7,"inverse",3
"91",2,"43",7,"basic",2
"92",2,"44",7,"basic",2
"93",2,"45",7,"basic",2
"94",2,"46",7,"inverse",2
"95",2,"47",7,"inverse",2
"96",2,"48",7,"inverse",2
"97",3,"1",6,"basic",9
"98",3,"2",7,"basic",9
"99",3,"3",7,"basic",9
"100",3,"4",7,"inverse",9
"101",3,"5",7,"inverse",9
"102",3,"6",5,"inverse",9
"103",3,"7",7,"basic",8
"104",3,"8",7,"basic",8
"105",3,"9",6,"basic",8
"106",3,"10",7,"inverse",8
"107",3,"11",4,"inverse",8
"108",3,"12",5,"inverse",8
"109",3,"13",7,"basic",7
"110",3,"14",3,"basic",7
"111",3,"15",6,"basic",7
"112",3,"16",3,"inverse",7
"113",3,"17",7,"inverse",7
"114",3,"18",6,"inverse",7
"115",3,"19",7,"basic",6
"116",3,"20",7,"basic",6
"117",3,"21",7,"basic",6
"118",3,"22",2,"inverse",6
"119",3,"23",6,"inverse",6
"120",3,"24",7,"inverse",6
"121",3,"25",6,"basic",5
"122",3,"26",6,"basic",5
"123",3,"27",7,"basic",5
"124",3,"28",6,"inverse",5
"125",3,"29",6,"inverse",5
"126",3,"30",6,"inverse",5
"127",3,"31",6,"basic",4
"128",3,"32",6,"basic",4
"129",3,"33",3,"basic",4
"130",3,"34",6,"inverse",4
"131",3,"35",7,"inverse",4
"132",3,"36",7,"inverse",4
"133",3,"37",7,"basic",3
"134",3,"38",6,"basic",3
"135",3,"39",6,"basic",3
"136",3,"40",6,"inverse",3
"137",3,"41",7,"inverse",3
"138",3,"42",7,"inverse",3
"139",3,"43",5,"basic",2
"140",3,"44",7,"basic",2
"141",3,"45",7,"basic",2
