"","X","subject","item","Rating","Caus","Trans"
"1",1,"1","1","7","Phys","9"
"2",2,"1","2","6","Phys","6"
"3",3,"1","3","7","Phys","9"
"4",4,"1","4","7","Phys","6"
"5",5,"1","5","7","Phys","5"
"6",6,"1","6","7","Phys","7"
"7",7,"1","7","7","Phys","9"
"8",8,"1","8","7","Phys","5"
"9",9,"1","9","7","Inst","7"
"10",10,"1","10","6","Inst","5"
"11",11,"1","11","7","Inst","7"
"12",12,"1","12","6","Inst","5"
"13",13,"1","13","7","Inst","8"
"14",14,"1","14","5","Inst","4"
"15",15,"1","15","5","Inst","3"
"16",16,"1","16","7","Inst","5"
"17",17,"1","17","7","Aff","4"
"18",18,"1","18","7","Aff","5"
"19",19,"1","19","7","Aff","5"
"20",20,"1","20","7","Aff","5"
"21",21,"1","21","7","Aff","4"
"22",22,"1","22","7","Aff","5"
"23",23,"1","23","7","Aff","5"
"24",24,"1","24","7","Aff","5"
"25",25,"1","25","7","Loc","4"
"26",26,"1","26","7","Loc","3"
"27",27,"1","27","7","Loc","4"
"28",28,"1","28","7","Loc","3"
"29",29,"1","29","7","Loc","3"
"30",30,"1","30","7","Loc","3"
"31",31,"1","31","7","Loc","2"
"32",32,"1","32","7","Loc","3"
"33",33,"1","33","7","Poss","2"
"34",34,"1","34","7","Poss","2"
"35",35,"1","35","7","Poss","2"
"36",36,"1","36","7","Poss","1"
"37",37,"1","37","7","Poss","2"
"38",38,"1","38","7","Poss","2"
"39",39,"1","39","7","Poss","2"
"40",40,"1","40","7","Poss","1"
"41",41,"2","1","6","Phys","9"
"42",42,"2","2","6","Phys","6"
"43",43,"2","3","7","Phys","9"
"44",44,"2","4","5","Phys","6"
"45",45,"2","5","7","Phys","5"
"46",46,"2","6","7","Phys","7"
"47",47,"2","7","5","Phys","9"
"48",48,"2","8","7","Phys","5"
"49",49,"2","9","1","Inst","7"
"50",50,"2","10","6","Inst","5"
"51",51,"2","11","1","Inst","7"
"52",52,"2","12","1","Inst","5"
"53",53,"2","13","6","Inst","8"
"54",54,"2","14","1","Inst","4"
"55",55,"2","15","1","Inst","3"
"56",56,"2","16","5","Inst","5"
"57",57,"2","17","7","Aff","4"
"58",58,"2","18","7","Aff","5"
"59",59,"2","19","7","Aff","5"
"60",60,"2","20","7","Aff","5"
"61",61,"2","21","7","Aff","4"
"62",62,"2","22","7","Aff","5"
"63",63,"2","23","7","Aff","5"
"64",64,"2","24","7","Aff","5"
"65",65,"2","25","7","Loc","4"
"66",66,"2","26","7","Loc","3"
"67",67,"2","27","7","Loc","4"
"68",68,"2","28","7","Loc","3"
"69",69,"2","29","7","Loc","3"
"70",70,"2","30","7","Loc","3"
"71",71,"2","31","7","Loc","2"
"72",72,"2","32","7","Loc","3"
"73",73,"2","33","7","Poss","2"
"74",74,"2","34","7","Poss","2"
"75",75,"2","35","7","Poss","2"
"76",76,"2","36","7","Poss","1"
